"id","lfhotelid","agenthotelid","caption_en","caption_zh","picurl","picsize","source","picture_id","updatetime","pic_path","pic_filesize"
"383376","38","149","Lobby","大厅","https://q-xx.bstatic.com/xdata/images/hotel/max500/145295384.jpg?k=32c49fc0f4dce537be33869d4153646e513824411d7582910dfef8b33d277736&o=&s=312x","312x","1","14304227","25/6/2022 08:59:30",,
"383377","38","149","Exercise area","健身区","https://q-xx.bstatic.com/xdata/images/hotel/max500/353192679.jpg?k=37e65029f14c509deea1e6a10988469c1ba550c265eaaf26810675224e11b129&o=&s=312x","312x","1","321845422","25/6/2022 08:59:30",,
"383988","39","151",,,"https://pix8.agoda.net/hotelImages/4884281/0/9dc9f52df1ed422b4c52657acdb90b2e.jpg?ca=9&ce=1&s=312x","312x","1","76329206","25/6/2022 09:16:42",,
"383989","39","151","Exterior view","酒店外观","https://q-xx.bstatic.com/xdata/images/hotel/max500/274033474.jpg?k=92cc6b2bbef329d5c0e5070177285d40e4005df8ffad1d8c884645adc6a99680&o=&s=312x","312x","1","185453157","25/6/2022 09:16:42",,
"383990","39","151","Lobby","大厅","https://q-xx.bstatic.com/xdata/images/hotel/max500/272710734.jpg?k=1e38613aa4b157b01f1e9c732530b74265c67c6ab6b4180fd3d305f6edada4a7&o=&s=312x","312x","1","227346191","25/6/2022 09:16:42",,
"383991","39","151","Lobby","大厅","https://q-xx.bstatic.com/xdata/images/hotel/max500/272710740.jpg?k=5ec9700bc8aedb8ba09d655fbc114059409fde3f5017eda891ab0615732eb6b1&o=&s=312x","312x","1","224655004","25/6/2022 09:16:42",,
"383992","39","151","Swimming pool","游泳池","https://q-xx.bstatic.com/xdata/images/hotel/max500/287369575.jpg?k=82ac473609144557f5c3240d1554b14c8c3ec82f8656611477c926d3c3457208&o=&s=312x","312x","1","244535025","25/6/2022 09:16:42",,
"389127","42","160",,,"https://pix8.agoda.net/hotelImages/5513951/0/d8a18840edb601efec5ffc1a34eda91e.jpg?ca=23&ce=0&s=312x","312x","1","106935924","25/6/2022 11:13:56",,
"389128","42","160",,,"https://pix8.agoda.net/hotelImages/5513951/0/e2b29a5878e2257079ce0d29fc01ed35.jpg?ca=23&ce=0&s=312x","312x","1","106935936","25/6/2022 11:13:56",,
"389129","42","160",,,"https://pix8.agoda.net/hotelImages/5513951/0/e74fc6099cd57904aa577d2347b55890.jpg?ca=23&ce=0&s=312x","312x","1","106935931","25/6/2022 11:13:56",,
